Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,Revenue of 2024,Price Category,Battery Effeciency (km/ kWh),Range Category,Autonous Level Coulumn,Unit Selling Category
541,Pininfarina,Battista,2018,Nickel-cobalt-aluminum,24.9,228,CCS,8.7,46377.67,Lime Green,Australia,0,0,5,14343,3,665194920.8,Mid-Range,9,Mid-Range,None,Very High
542,Great Wall Motors,ORA Lightning Cat,2017,Nickel-metal hydride,129,410,CCS,2.5,44898.17,Racing Red,Thailand,5,0,3,14439,4,648284676.6,Mid-Range,3,High Range,Full,Very High
543,Porsche,Macan EV,2015,Aluminum-ion,107.8,210,Vehicle-to-Home (V2H),8.5,130380.14,Cobalt Blue,South Africa,5,0,5,10103,4,1317230554,Luxury,2,Mid-Range,Full,Very High
544,Bmw,iX1,2015,Lithium-ion,120.4,492,Inductive (Wireless) Charging,11.2,74957.36,Forest Green,Denmark,3,0,4,6296,5,471931538.6,Mid-Range,4,High Range,Advanced,High
545,Mini,Mini Electric,2018,Aluminum-ion,32.6,527,NACS,8.8,35281.5,Graphite Gray,France,2,0,3,17750,4,626246625,Budget,16,High Range,Intermediate,Very High
546,Zeekr,Zeekr 001,2018,Lithium-iron phosphate,33.8,265,NACS,0.7,108479.13,White,India,1,0,5,12090,3,1311512682,Premium,8,Mid-Range,Basic,Very High
547,Audi,e-tron GT,2021,Lithium-sulfur,119.8,355,CCS,8.7,124951.17,Rose Gold,Singapore,0,0,5,12732,5,1590878296,Luxury,3,Mid-Range,None,Very High
548,Opel,Grandland Electric,2017,Sodium-ion,42.8,489,Mobile Charging,11.7,109964.47,Red,Mexico,3,0,5,7616,5,837489403.5,Premium,11,High Range,Advanced,High
549,Jeep,Wrangler 4xe (PHEV),2018,Lithium-ion,100.1,559,CCS,4.1,118549.59,Stealth Gray,Belgium,0,0,3,4969,4,589072912.7,Premium,6,High Range,None,Medium
550,Rivian,EDV (Electric Delivery Van),2015,Lithium-iron phosphate,140,406,Vehicle-to-Home (V2H),9,69442.78,Bronze,Hungary,0,0,5,9452,3,656373156.6,Mid-Range,3,High Range,None,High
551,Volvo,EX30,2020,Lithium-iron phosphate,46.8,127,Ultra-Fast Charging (350 kW+),9.7,113553.37,Crimson Red,Ireland,4,0,3,2117,4,240392484.3,Premium,3,Low Range,Full,Medium
552,Audi,e-tron GT,2015,Flow batteries,149,580,Inductive (Wireless) Charging,1.9,50841.1,Matte Gray,Switzerland,0,0,3,6472,3,329043599.2,Mid-Range,4,High Range,None,High
553,Zeekr,Zeekr X,2024,Lithium-iron phosphate,59.4,395,Vehicle-to-Home (V2H),11.6,54168.12,Burgundy,New Zealand,3,0,3,15424,4,835489082.9,Mid-Range,7,Mid-Range,Advanced,Very High
554,Zeekr,Zeekr 007,2017,Calcium-ion,144,346,Level 1 Charging,9.3,81287.67,Green,Poland,1,0,4,15192,4,1234922283,Premium,2,Mid-Range,Basic,Very High
555,Changan,Deepal S07,2021,Lead-acid,98.8,136,Mobile Charging,2.1,86311.02,Charcoal,Denmark,3,0,4,16103,4,1389866355,Premium,1,Low Range,Advanced,Very High
556,Li Auto,MEGA,2020,Nickel-cobalt-aluminum,83.6,428,DC Fast Charging (DCFC),5.2,34659.23,Orange,India,1,0,4,11422,5,395877725.1,Budget,5,High Range,Basic,Very High
557,Dacia,Bigster EV (upcoming),2025,Lithium-titanate,67.9,129,Plug-in Hydrogen Refueling,11.2,118279.7,Forest Green,New Zealand,3,0,5,925,5,109408722.5,Premium,2,Low Range,Advanced,Low
558,Mini,Mini Aceman,2017,Lithium-sulfur,98.7,583,CHAdeMO,3.4,102257.92,Lime Green,Netherlands,3,0,4,13030,5,1332420698,Premium,6,High Range,Advanced,Very High
559,Jeep,Wrangler 4xe (PHEV),2023,Aluminum-ion,44.5,316,NACS,10,60344.55,Magenta,Turkey,5,0,5,13487,5,813866945.9,Mid-Range,7,Mid-Range,Full,Very High
560,Hyundai,Kona Electric,2025,Zinc-air,121,276,CHAdeMO,3.6,55143.07,Racing Red,Thailand,0,0,3,3174,3,175024104.2,Mid-Range,2,Mid-Range,None,Medium
561,Opel,Grandland Electric,2021,Lead-acid,74.2,247,Vehicle-to-Grid (V2G),2.5,74958.17,Cosmic Purple,Italy,1,0,5,6965,3,522083654.1,Mid-Range,3,Mid-Range,Basic,High
562,Lucid Motors,Lucid Air,2017,Magnesium-ion,118.7,232,Vehicle-to-Grid (V2G),5.6,139556.57,Yellow,Netherlands,3,0,3,11211,3,1564568706,Luxury,2,Mid-Range,Advanced,Very High
563,Jeep,Grand Cherokee 4xe (PHEV),2022,Nickel-manganese-cobalt,107.5,151,Level 1 Charging,1.2,120215.84,White,Israel,0,0,3,12309,5,1479736775,Luxury,1,Low Range,None,Very High
564,Lotus,Emeya,2022,Nickel-manganese-cobalt,118.4,409,Vehicle-to-Grid (V2G),4.4,111823.2,Pink,Hungary,2,0,3,11666,4,1304529451,Premium,3,High Range,Intermediate,Very High
565,Faraday Future,FF 91,2015,Nickel-manganese-cobalt,133.2,305,CHAdeMO,0.8,44747.34,Matte Black,Portugal,1,0,5,15571,5,696760831.1,Mid-Range,2,Mid-Range,Basic,Very High
566,Li Auto,L8,2015,Flow batteries,144.5,516,Mobile Charging,0.7,73224.67,Silver,Hungary,1,0,5,2666,4,195216970.2,Mid-Range,4,High Range,Basic,Medium
567,Zeekr,Zeekr 007,2025,Calcium-ion,110.9,151,Plug-in Hydrogen Refueling,3.9,53409.23,Charcoal,South Africa,5,0,3,9874,5,527362737,Mid-Range,1,Low Range,Full,High
568,Lamborghini,Lanzador (upcoming EV),2017,Aluminum-ion,78,159,Vehicle-to-Load (V2L),8.1,58908.19,Electric Blue,Netherlands,5,0,5,957,3,56375137.83,Mid-Range,2,Low Range,Full,Low
569,Rimac,Nevera,2019,Lithium-iron phosphate,113.5,440,Vehicle-to-Load (V2L),11.4,110472.15,Lime Green,Italy,5,0,4,10905,3,1204698796,Premium,4,High Range,Full,Very High
570,Ferrari,Ferrari EV (2025+),2016,Flow batteries,64.6,566,Plug-in Hydrogen Refueling,8,124209.83,Rose Gold,Vietnam,1,0,3,2920,4,362692703.6,Luxury,9,High Range,Basic,Medium
571,Peugeot,e-2008,2016,Zinc-air,67.8,536,Mobile Charging,11.5,99230.02,White,Poland,3,0,4,10474,4,1039335229,Premium,8,High Range,Advanced,Very High
572,Faraday Future,FF 91,2023,Flow batteries,98.2,213,CCS,5,94595.15,Sunset Orange,Hungary,3,0,4,14935,3,1412778565,Premium,2,Mid-Range,Advanced,Very High
573,Cadillac,Celestiq,2017,Lithium-titanate,106.5,510,Level 2 Charging,7.4,67066.97,Ice Silver,Canada,5,0,3,16220,4,1087826253,Mid-Range,5,High Range,Full,Very High
574,Dacia,Bigster EV (upcoming),2015,Magnesium-ion,63.3,523,Inductive (Wireless) Charging,10.3,142131.95,Crimson Red,South Korea,1,0,4,5216,3,741360251.2,Luxury,8,High Range,Basic,High
575,Lamborghini,Lanzador (upcoming EV),2020,Nickel-cobalt-aluminum,108.1,278,Plug-in Hydrogen Refueling,5,93341.33,Copper,Czech Republic,1,0,3,4289,4,400340964.4,Premium,3,Mid-Range,Basic,Medium
576,Citroen,Ami,2015,Calcium-ion,141.5,255,Vehicle-to-Home (V2H),8,99258.89,Candy Apple Red,New Zealand,1,0,3,299,4,29678408.11,Premium,2,Mid-Range,Basic,Low
577,Renault,Megane E-Tech,2025,Magnesium-ion,148.5,175,Plug-in Hydrogen Refueling,11.4,81253.33,Titanium,Netherlands,0,0,3,3845,5,312419053.9,Premium,1,Low Range,None,Medium
578,Genesis,GV80 Electric,2024,Nickel-cobalt-aluminum,146.1,421,Plug-in Hydrogen Refueling,3.3,44256.31,Cream,Russia,4,0,4,2936,4,129936526.2,Mid-Range,3,High Range,Full,Medium
579,Canoo,MPDV,2021,Lithium-sulfur,102.2,327,Overhead Pantograph Charging,0.6,43995.32,Orange,Russia,4,0,5,15712,4,691254467.8,Mid-Range,3,Mid-Range,Full,Very High
580,Seat,Avenger,2024,Nickel-metal hydride,69.9,430,Vehicle-to-Grid (V2G),3.9,45028.37,Purple,China,4,0,3,12903,5,581001058.1,Mid-Range,6,High Range,Full,Very High
581,Canoo,MPDV,2023,Nickel-manganese-cobalt,28.3,528,CCS,9.2,54895.65,Lime Green,Canada,4,0,4,14654,4,804440855.1,Mid-Range,19,High Range,Full,Very High
582,Jaguar,I-PACE,2017,Zinc-air,46.8,182,DC Fast Charging (DCFC),7,132174.01,Silver,Uk,4,0,3,13862,5,1832196127,Luxury,4,Low Range,Full,Very High
583,Tesla,Model 3,2019,Lithium-ion,143,365,Solar Charging,8.1,83390.43,Matte Green,Russia,4,0,5,17636,5,1470673623,Premium,3,Mid-Range,Full,Very High
584,Rivian,EDV (Electric Delivery Van),2016,Flow batteries,126.6,221,Level 2 Charging,2.7,65965.11,Titanium,Switzerland,4,0,4,4210,5,277713113.1,Mid-Range,2,Mid-Range,Full,Medium
585,Gmc,Hummer EV SUV,2016,Lead-acid,53.1,295,NACS,5.1,39990.49,Gold,Vietnam,1,0,4,8827,5,352996055.2,Budget,6,Mid-Range,Basic,High
586,Seat,Avenger,2020,Zinc-air,105.5,520,NACS,5.3,48418.97,Burgundy,Vietnam,4,0,5,3604,5,174501967.9,Mid-Range,5,High Range,Full,Medium
587,Lamborghini,Lanzador (upcoming EV),2016,Sodium-ion,103.2,285,Mobile Charging,9.4,47559.56,Cobalt Blue,Austria,0,0,4,3440,3,163604886.4,Mid-Range,3,Mid-Range,None,Medium
588,Porsche,Panamera EV,2024,Calcium-ion,124.9,148,Overhead Pantograph Charging,8.6,133847.8,Matte Gray,Portugal,0,0,4,5920,4,792378976,Luxury,1,Low Range,None,High
589,Faraday Future,FF 91,2022,Zinc-air,36.6,104,CHAdeMO,8.1,47120.42,Matte Green,Portugal,3,0,5,8162,5,384596868,Mid-Range,3,Low Range,Advanced,High
590,Cadillac,Celestiq,2022,Nickel-metal hydride,77.1,281,Vehicle-to-Home (V2H),6.3,63098.76,Brown,South Africa,1,0,4,13320,4,840475483.2,Mid-Range,4,Mid-Range,Basic,Very High
591,Hyundai,Kona Electric,2016,Lithium-titanate,51.2,147,NACS,7.1,40150.21,Copper,United Arab Emirates,0,0,5,4470,4,179471438.7,Mid-Range,3,Low Range,None,Medium
592,Mahindra,XUV400,2021,Lithium-ion,100.1,566,Level 1 Charging,8.7,114311.01,Racing Red,Brazil,5,0,5,19962,3,2281876382,Premium,6,High Range,Full,Very High
593,Cadillac,Celestiq,2017,Flow batteries,140.9,491,Ultra-Fast Charging (350 kW+),2.5,74046.11,Gray,Turkey,0,0,4,3710,4,274711068.1,Mid-Range,3,High Range,None,Medium
594,Skoda,Enyaq,2023,Calcium-ion,119.6,160,Solar Charging,3.9,65225.4,Electric Blue,Usa,4,0,5,16892,3,1101787457,Mid-Range,1,Low Range,Full,Very High
595,Changan,Q05,2022,Lithium-ion,66.2,415,Vehicle-to-Home (V2H),4.3,72467.13,White,Brazil,1,0,4,14116,4,1022946007,Mid-Range,6,High Range,Basic,Very High
596,Lucid Motors,Lucid Air,2023,Lead-acid,136.8,310,CCS,11,30829.25,Navy Blue,Spain,3,0,3,17577,4,541885727.3,Budget,2,Mid-Range,Advanced,Very High
597,Kia,EV9,2025,Calcium-ion,77.1,171,Overhead Pantograph Charging,9.1,30697.23,Cosmic Purple,Denmark,3,0,4,10853,3,333157037.2,Budget,2,Low Range,Advanced,Very High
598,Mercedes-Benz,EQB,2022,Flow batteries,147.8,160,Vehicle-to-Grid (V2G),6.1,89468.11,Sky Blue,Italy,3,0,4,4306,3,385249681.7,Premium,1,Low Range,Advanced,Medium
599,Kia,Soul EV,2017,Nickel-metal hydride,64.7,106,Ultra-Fast Charging (350 kW+),1.1,129580.29,Brown,Ireland,3,0,3,14055,3,1821250976,Luxury,2,Low Range,Advanced,Very High
600,Gmc,Hummer EV Pickup,2023,Nickel-metal hydride,52.4,492,CCS,10.4,149310.85,Forest Green,Vietnam,5,0,5,16460,5,2457656591,Luxury,9,High Range,Full,Very High
601,Porsche,Macan EV,2024,Flow batteries,102.5,217,CCS,2,34603.97,Metallic Silver,Sweden,4,0,4,13346,5,461824583.6,Budget,2,Mid-Range,Full,Very High
602,Subaru,Solterra,2018,Sodium-ion,75.4,131,Vehicle-to-Grid (V2G),7.9,66514.8,Bronze,Argentina,2,0,3,5955,3,396095634,Mid-Range,2,Low Range,Intermediate,High
603,Tesla,Model S,2025,Lithium-titanate,61.8,246,Vehicle-to-Load (V2L),3.7,102782.62,Brown,Norway,3,0,3,447,5,45943831.14,Premium,4,Mid-Range,Advanced,Low
604,Lamborghini,Revuelto (PHEV),2020,Sodium-ion,116.4,285,Overhead Pantograph Charging,3.2,63113.63,Matte Blue,India,3,0,5,3943,3,248857043.1,Mid-Range,2,Mid-Range,Advanced,Medium
605,Jeep,Grand Cherokee 4xe (PHEV),2018,Lithium-titanate,78,150,DC Fast Charging (DCFC),11.3,104281.24,Magenta,New Zealand,1,0,3,6281,4,654990468.4,Premium,2,Low Range,Basic,High
606,Lamborghini,Lanzador (upcoming EV),2023,Sodium-ion,136.3,329,CCS,11,38125.02,Tan,South Africa,4,0,4,4224,4,161040084.5,Budget,2,Mid-Range,Full,Medium
607,Chevrolet,Equinox EV,2015,Magnesium-ion,146.4,197,Plug-in Hydrogen Refueling,6.2,93896.38,Graphite Gray,China,4,0,4,19897,4,1868256273,Premium,1,Low Range,Full,Very High
608,Rivian,R1T,2015,Nickel-metal hydride,94.3,403,Level 1 Charging,10.6,124877.63,Sunset Orange,Turkey,4,0,4,8798,5,1098673389,Luxury,4,High Range,Full,High
609,Jaguar,I-PACE,2018,Lithium-ion,89.4,249,Level 2 Charging,7.9,143045.52,Bronze,Italy,0,0,3,17517,3,2505728374,Luxury,3,Mid-Range,None,Very High
610,Tesla,Roadster (upcoming),2020,Flow batteries,98.7,288,Mobile Charging,1.5,114655.41,Matte Gray,Spain,3,0,3,341,4,39097494.81,Premium,3,Mid-Range,Advanced,Low
611,Volvo,EX30,2017,Lithium-sulfur,146.3,375,CCS,8.8,112573.85,Ruby Red,Spain,5,0,4,7229,4,813796361.7,Premium,3,Mid-Range,Full,High
612,Toyota,bZ4X,2024,Flow batteries,125,485,Plug-in Hydrogen Refueling,2.3,57806.78,Volcanic Yellow,Vietnam,3,0,3,5770,3,333545120.6,Mid-Range,4,High Range,Advanced,High
613,Ferrari,Roma PHEV,2017,Flow batteries,56.7,258,NACS,10.7,128099.9,Sky Blue,Ireland,1,0,5,13189,3,1689509581,Luxury,5,Mid-Range,Basic,Very High
614,Renault,5 E-Tech,2015,Zinc-air,33,296,Level 1 Charging,1.8,31626.25,Titanium,Japan,3,0,5,19648,3,621392560,Budget,9,Mid-Range,Advanced,Very High
615,Vinfast,VF 6,2016,Lead-acid,115.7,273,DC Fast Charging (DCFC),2.8,87651.05,Matte Green,Malaysia,2,0,3,17810,5,1561065201,Premium,2,Mid-Range,Intermediate,Very High
616,Toyota,Lexus UX 300e,2023,Solid-state,22.8,122,CCS,6.8,42307.93,Titanium,Indonesia,3,0,4,13996,4,592141788.3,Mid-Range,5,Low Range,Advanced,Very High
617,Ford,E-Transit,2025,Lithium-sulfur,49.4,550,Plug-in Hydrogen Refueling,8.4,115782.14,Orange,Russia,0,0,4,11708,3,1355577295,Premium,11,High Range,None,Very High
618,Gmc,Hummer EV SUV,2016,Sodium-ion,140,570,DC Fast Charging (DCFC),10.8,102540.77,Midnight Black,Vietnam,4,0,5,9881,5,1013205348,Premium,4,High Range,Full,High
619,Canoo,Pickup,2020,Aluminum-ion,33.5,569,Vehicle-to-Load (V2L),8.1,141945.82,Cobalt Blue,China,1,0,3,12799,4,1816764550,Luxury,17,High Range,Basic,Very High
620,Renault,Kangoo E-Tech,2016,Solid-state,95.1,591,Battery Swapping,2.2,68766.41,Gray,Norway,2,0,5,13564,5,932747585.2,Mid-Range,6,High Range,Intermediate,Very High
621,Vinfast,VF 8,2017,Magnesium-ion,142.7,571,Ultra-Fast Charging (350 kW+),4.9,95920.71,Matte White,Saudi Arabia,4,0,5,13822,5,1325816054,Premium,4,High Range,Full,Very High
622,Ferrari,Ferrari EV (2025+),2018,Lithium-titanate,31.3,285,Level 1 Charging,2.8,132071.41,Turquoise,United Arab Emirates,1,0,4,11447,4,1511821430,Luxury,9,Mid-Range,Basic,Very High
623,Opel,Corsa-e,2019,Nickel-manganese-cobalt,38.7,536,Vehicle-to-Grid (V2G),3.3,129338.62,Blue,Italy,3,0,5,863,5,111619229.1,Luxury,14,High Range,Advanced,Low
624,Zeekr,Zeekr 009,2015,Lithium-titanate,33.8,397,DC Fast Charging (DCFC),6,101271.08,Pearl White,Germany,3,0,3,18650,4,1888705642,Premium,12,Mid-Range,Advanced,Very High
625,Ford,F-150 Lightning,2022,Lithium-titanate,38.2,370,Solar Charging,5.9,116706.89,Candy Apple Red,Usa,1,0,5,5687,5,663712083.4,Premium,10,Mid-Range,Basic,High
626,Mercedes-Benz,EQC,2021,Calcium-ion,75.1,585,Vehicle-to-Home (V2H),6.9,129542.19,Matte Green,Turkey,1,0,3,17088,4,2213616943,Luxury,8,High Range,Basic,Very High
627,Volkswagen,ID.Buzz,2018,Nickel-cobalt-aluminum,100.5,212,Plug-in Hydrogen Refueling,2.6,119519.49,Matte Gray,Ireland,5,0,5,13274,4,1586501710,Premium,2,Mid-Range,Full,Very High
628,Mercedes-Benz,EQC,2020,Flow batteries,75.1,238,CCS,1.7,73524.2,Navy Blue,Mexico,3,0,3,6943,5,510478520.6,Mid-Range,3,Mid-Range,Advanced,High
629,Tesla,Model X,2018,Lead-acid,46.2,575,Level 2 Charging,3.3,40204.72,Matte Green,Singapore,3,0,3,10308,3,414430253.8,Mid-Range,12,High Range,Advanced,Very High
630,Subaru,Solterra,2020,Magnesium-ion,56.7,303,Inductive (Wireless) Charging,4.1,76876.96,Teal,Italy,0,0,5,3309,5,254385860.6,Mid-Range,5,Mid-Range,None,Medium
631,Faraday Future,FF 91,2015,Zinc-air,123.5,344,Level 2 Charging,3.8,48184.54,Sunset Orange,Uk,0,0,3,4615,5,222371652.1,Mid-Range,3,Mid-Range,None,Medium
632,Mercedes-Benz,EQE SUV,2022,Magnesium-ion,37.1,248,Overhead Pantograph Charging,7.7,142816.94,Silver,India,4,0,5,16302,3,2328201756,Luxury,7,Mid-Range,Full,Very High
633,Faraday Future,FF 91,2017,Magnesium-ion,133.2,380,DC Fast Charging (DCFC),6.2,84576.94,Pearl White,Czech Republic,2,0,3,5871,5,496551214.7,Premium,3,Mid-Range,Intermediate,High
634,Opel,Mokka-e,2019,Nickel-manganese-cobalt,147.2,490,Vehicle-to-Home (V2H),8,46853.67,Orange,Singapore,2,0,5,4226,4,198003609.4,Mid-Range,3,High Range,Intermediate,Medium
635,Byd,Atto 3,2024,Sodium-ion,68.6,449,Vehicle-to-Grid (V2G),6.3,61539.29,Sky Blue,Japan,5,0,5,18376,3,1130845993,Mid-Range,7,High Range,Full,Very High
636,Ford,Mustang Mach-E,2019,Nickel-cobalt-aluminum,40.6,304,DC Fast Charging (DCFC),3.1,134899.07,Lime Green,Uk,3,0,4,3575,3,482264175.3,Luxury,7,Mid-Range,Advanced,Medium
637,Porsche,Taycan,2021,Magnesium-ion,76.3,305,Mobile Charging,1.2,71090.83,Gun Metal,Russia,5,0,3,17861,3,1269753315,Mid-Range,4,Mid-Range,Full,Very High
638,Great Wall Motors,ORA Good Cat,2025,Lithium-iron phosphate,61.6,116,Plug-in Hydrogen Refueling,1.2,127024.03,Burgundy,Vietnam,1,0,5,13858,4,1760299008,Luxury,2,Low Range,Basic,Very High
639,Honda,Honda e (discontinued),2017,Solid-state,38.4,240,Plug-in Hydrogen Refueling,1.4,134853.11,Candy Apple Red,Indonesia,5,0,3,3029,4,408470070.2,Luxury,6,Mid-Range,Full,Medium
640,Pininfarina,Battista,2017,Lithium-iron phosphate,65.4,314,Vehicle-to-Load (V2L),6,112659.66,Pearl White,Vietnam,5,0,5,19566,3,2204298908,Premium,5,Mid-Range,Full,Very High
641,Audi,A6 e-tron (upcoming),2024,Nickel-metal hydride,62.1,521,Mobile Charging,0.7,137580.13,Charcoal,Russia,0,0,4,17062,5,2347392178,Luxury,8,High Range,None,Very High
642,Tesla,Model Y,2017,Flow batteries,78.4,596,CCS,0.9,119484.9,Metallic Silver,Indonesia,1,0,3,6263,5,748333928.7,Premium,8,High Range,Basic,High
643,Ferrari,SF90 Stradale (PHEV),2020,Calcium-ion,67.3,254,Solar Charging,6.3,134130.98,Ice Silver,Russia,3,0,5,13954,5,1871663695,Luxury,4,Mid-Range,Advanced,Very High
644,Citroen,ë-Spacetourer,2016,Aluminum-ion,42.9,319,Overhead Pantograph Charging,2.5,101387.02,Matte White,Vietnam,5,0,4,3251,3,329609202,Premium,7,Mid-Range,Full,Medium
645,Faraday Future,FF 91,2016,Flow batteries,22.1,577,Vehicle-to-Grid (V2G),1.7,119993.24,Sapphire Blue,Saudi Arabia,3,0,3,9499,4,1139815787,Premium,26,High Range,Advanced,High
646,Rivian,R1T,2022,Lead-acid,69.5,200,Vehicle-to-Load (V2L),11.4,72073.64,Burgundy,Australia,5,0,3,12276,3,884776004.6,Mid-Range,3,Low Range,Full,Very High
647,Mg,MG5 EV,2019,Aluminum-ion,105.6,257,Vehicle-to-Grid (V2G),8.2,30498.91,Tan,Japan,3,0,5,19659,4,599578071.7,Budget,2,Mid-Range,Advanced,Very High
648,Pininfarina,Battista,2024,Nickel-cobalt-aluminum,51.4,598,Plug-in Hydrogen Refueling,2.7,107332.12,Titanium,South Korea,4,0,4,5692,4,610934427,Premium,12,High Range,Full,High
649,Rimac,Nevera,2021,Lithium-iron phosphate,32.9,510,CHAdeMO,6.3,105772.93,Burgundy,Thailand,5,0,3,10564,3,1117385233,Premium,16,High Range,Full,Very High
650,Hyundai,Kona Electric,2015,Nickel-cobalt-aluminum,21.5,494,CHAdeMO,0.8,114909.11,Green,Singapore,5,0,5,11734,3,1348343497,Premium,23,High Range,Full,Very High
651,Polestar,Polestar 3,2019,Lithium-iron phosphate,89.6,225,Plug-in Hydrogen Refueling,9.4,109110.92,Bronze,Uk,5,0,3,3635,4,396618194.2,Premium,3,Mid-Range,Full,Medium
652,Cadillac,Lyriq,2016,Nickel-metal hydride,56.7,558,NACS,1.6,89309.41,Turquoise,Switzerland,3,0,4,2500,3,223273525,Premium,10,High Range,Advanced,Medium
653,Skoda,Enyaq Coupe,2021,Aluminum-ion,60.8,565,Vehicle-to-Home (V2H),9.8,51576.77,White,Norway,5,0,4,11233,4,579361857.4,Mid-Range,9,High Range,Full,Very High
654,Great Wall Motors,ORA Ballet Cat,2024,Lead-acid,20.7,367,Battery Swapping,11.2,53141.43,Black,Saudi Arabia,3,0,4,3761,3,199864918.2,Mid-Range,18,Mid-Range,Advanced,Medium
655,Nissan,Ariya,2017,Lithium-iron phosphate,30.8,454,CHAdeMO,3.6,87788.98,Green,Brazil,5,0,4,14288,5,1254328946,Premium,15,High Range,Full,Very High
656,Xpeng,G6,2019,Nickel-metal hydride,45.7,533,Battery Swapping,11.6,42347.35,Burgundy,Israel,1,0,4,13885,5,587992954.8,Mid-Range,12,High Range,Basic,Very High
657,Peugeot,e-3008,2020,Zinc-air,34,296,Vehicle-to-Grid (V2G),2.8,72349.86,Emerald Green,China,0,0,4,9616,5,695716253.8,Mid-Range,9,Mid-Range,None,High
658,Canoo,MPDV,2023,Sodium-ion,71.8,158,NACS,9.8,81526.42,Midnight Black,Brazil,1,0,4,4007,3,326676364.9,Premium,2,Low Range,Basic,Medium
659,Rimac,Nevera,2020,Lithium-iron phosphate,80.5,507,Mobile Charging,10.8,97396.87,Beige,Czech Republic,4,0,5,19919,5,1940048254,Premium,6,High Range,Full,Very High
660,Audi,A6 e-tron (upcoming),2025,Nickel-cobalt-aluminum,108.7,322,Mobile Charging,9.9,53778.05,Blue,Russia,2,0,3,19707,4,1059804031,Mid-Range,3,Mid-Range,Intermediate,Very High
661,Jeep,Recon (upcoming),2018,Zinc-air,22.8,109,Level 1 Charging,11,64123.9,Titanium,Thailand,3,0,4,533,3,34178038.7,Mid-Range,5,Low Range,Advanced,Low
662,Great Wall Motors,ORA Good Cat,2021,Lithium-titanate,59.1,262,Overhead Pantograph Charging,5.1,96774.02,Purple,Russia,3,0,4,3978,4,384967051.6,Premium,4,Mid-Range,Advanced,Medium
663,Gmc,Hummer EV Pickup,2015,Lithium-iron phosphate,26.2,105,CHAdeMO,1.7,68743.08,Ice Silver,Vietnam,0,0,4,17614,3,1210840611,Mid-Range,4,Low Range,None,Very High
664,Seat,Avenger,2019,Aluminum-ion,122,156,Level 2 Charging,11.4,39005.06,Pink,Finland,3,0,3,19118,4,745698737.1,Budget,1,Low Range,Advanced,Very High
665,Jaguar,I-PACE,2020,Calcium-ion,39.2,399,Vehicle-to-Grid (V2G),7.8,110188.23,Matte Black,South Africa,3,0,4,15817,3,1742847234,Premium,10,Mid-Range,Advanced,Very High
666,Hyundai,Ioniq 6,2019,Lithium-titanate,30.8,385,Ultra-Fast Charging (350 kW+),8.1,118232.19,Electric Blue,China,3,0,5,7082,4,837320369.6,Premium,12,Mid-Range,Advanced,High
667,Canoo,Pickup,2018,Nickel-manganese-cobalt,33.6,206,Mobile Charging,9.2,67419.05,Sunset Orange,Sweden,0,0,4,12634,4,851772277.7,Mid-Range,6,Mid-Range,None,Very High
668,Gmc,Hummer EV Pickup,2021,Lithium-iron phosphate,28.9,316,NACS,8.4,144179.35,Matte Green,France,3,0,3,543,4,78289387.05,Luxury,11,Mid-Range,Advanced,Low
669,Porsche,Panamera EV,2015,Nickel-manganese-cobalt,106,331,Overhead Pantograph Charging,3.6,141231.33,Green,Brazil,1,0,4,1741,4,245883745.5,Luxury,3,Mid-Range,Basic,Medium
670,Toyota,Lexus RZ,2016,Lithium-ion,104.3,474,Vehicle-to-Grid (V2G),2.7,52733.96,Midnight Black,Ireland,4,0,5,1634,5,86167290.64,Mid-Range,5,High Range,Full,Medium
671,Polestar,Polestar 2,2018,Solid-state,26.9,118,Battery Swapping,3.2,93855.81,Bronze,Austria,5,0,3,7205,5,676231111.1,Premium,4,Low Range,Full,High
672,Canoo,MPDV,2019,Nickel-manganese-cobalt,46.7,502,Inductive (Wireless) Charging,4.5,64559.11,Gun Metal,Czech Republic,0,0,5,15622,5,1008542416,Mid-Range,11,High Range,None,Very High
673,Subaru,Solterra,2017,Sodium-ion,108.6,185,NACS,4.3,84625.96,White,New Zealand,0,0,3,5594,5,473397620.2,Premium,2,Low Range,None,High
674,Citroen,ë-C4,2024,Sodium-ion,146,398,Level 1 Charging,6.1,59701.25,Orange,Japan,4,0,3,17212,5,1027577915,Mid-Range,3,Mid-Range,Full,Very High
675,Mercedes-Benz,EQE,2016,Solid-state,59.6,476,Mobile Charging,5.7,118177.8,Matte White,Spain,2,0,4,11554,4,1365426301,Premium,8,High Range,Intermediate,Very High
676,Dacia,Bigster EV (upcoming),2023,Magnesium-ion,106.3,542,Vehicle-to-Load (V2L),1.8,112294.1,Volcanic Yellow,Germany,3,0,3,11704,4,1314290146,Premium,5,High Range,Advanced,Very High
677,Nissan,Leaf,2024,Lithium-titanate,110.5,320,Overhead Pantograph Charging,2.9,40712.88,Beige,France,5,0,4,17265,3,702907873.2,Mid-Range,3,Mid-Range,Full,Very High
